,address,admin,age,anh,array,attribute,auth,authentication,authenticator,ban,br,bán,bạn,bằng,calendar,cart,category,character,charset,check,chi,chính,ch�?chọn,ch�?close,command,compile,con,confirm,connect,connection,connecttion,cons,content,context,cookie,cookies,có,cập,da,date,db,dd,del,delete,detail,diachi,digits,dispatcher,driver,dt,dùng,dạng,dịch,dọc,dụng,email,enable,encoding,err,execute,footer,format,forward,fraction,ft,ghi,gia,gio,gioitinh,giá,gi�?giới,gmail,hang,header,hh,hinh,history,host,hoặc,html,http,hàng,hãng,hình,hóa,h�?hợp,impl,index,insert,instance,integer,internet,invalidate,io,item,jdbc,jsp,khoản,khuyến,khôi,không,khẩu,kiếm,kiểm,kí,ký,length,li,loai,localhost,login,logout,loại,luong,lượng,lập,lịch,mail,manager,matcher,matches,matkhauwebbanhang,max,menu,mess,message,messaging,mime,minimum,mm,mo,mua,muốn,mysql,mãi,mật,mới,nf,ngay,ngaysinh,ngày,người,nhất,nhận,nhập,nhật,nh�?nào,obj,page,parameter,parse,password,passwordreset,patten,pattern,phù,phải,phẩm,phục,plain,port,post,prepare,prepared,product,properties,props,ps,quantity,query,recipient,recipients,redirect,register,remove,request,reset,resetpassword,response,role,root,rs,runtime,sai,samsung,sdt,search,select,send,serial,servlet,session,shop,shopping,simple,sinh,smtp,soluong,sql,ss,starttls,statement,strong,subject,sx,system,sđt,sản,s�?s�?ta,tdate,ten,text,thanh,thanhtoán,thong,thoại,thấy,th�?thống,tien,time,timestamp,tiết,tiền,total,toán,tra,trang,trangch�?transport,trình,tr�?tr�?type,tài,tên,tìm,tính,tôi,tại,tồn,tổng,uid,ul,update,url,utf,version,vnđ,v�?v�?webbanhang,xemthông,xuat,xuất,xác,yyyy,za,zip,ít,đang,điều,điện,đã,đóng,đăng,đăngký,đăngnhập,đăngxuất,đơn,đầy,đến,đ�?địa,định,đồng,đ�?ảnh,ứng,,,,,,,,,,,,,,,
login(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0.306809612,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137838124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0.236452845,0,0.137838124,0,0.315925577,0,0,0,0.275676247,0,0,0,0,0.191320042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153404806,0,0,0.315925577,0,0,0,0,0,0.137838124,0,0,0.183230006,0,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0.137838124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137838124,0.153404806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236452845,0.105308526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421234103,0,0,0,0,0,0,0,0,0,0,0,0,0
product(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423432474,0.133634125,0,0,0,0,0,0,0,0,0,0,0,0.127128638,0.150026642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160897924,0,0,0,0.254257276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160897924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381385913,0,0,0,0,0,0,0.116257356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160897924,0,0,0.381385913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267268249,0,0,0.160897924,0,0,0,0,0.254257276,0,0,0,0,0,0,0,0,0,0,0,0.254257276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150026642,0.150026642,0.141144158,0,0,0.160897924,0,0,0,0,0,0,0
register(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179064725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179064725,0,0.199287314,0,0,0.119016531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179064725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307174552,0,0,0,0.136805709,0,0,0.179064725,0.179064725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136805709,0,0,0,0,0.16471657,0.179064725,0,0,0.119016531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16471657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179064725,0,0,0,0,0,0,0,0,0,0,0,0,0.153587276,0,0,0,0,0,0,0,0,0.179064725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153587276,0.136805709,0,0.179064725,0.199287314,0,0,0,0,0,0,0,0,0,0,0,0.199287314,0,0,0,0,0,0,0,0,0,0,0.199287314,0.179064725,0,0,0.410417127,0,0,0,0,0,0,0,0.179064725,0,0.199287314,0,0,0
resetpassword(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540944015,0,0.413282009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413282009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540944015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270472007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search_menu(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266160406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2391519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532320811,0,0,0,0,0,0,0,0,0,0,0.4783038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173817715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192980555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173817715,0,0,0,0,0,0,0,0,0,0,0,0.4783038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182712397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search_page(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139867036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338591726,0.106858618,0,0,0,0,0,0,0,0,0,0,0,0.101656598,0.11996666,0,0,0,0.155662853,0,0,0,0,0,0,0,0,0,0,0,0,0.128659726,0,0.128659726,0,0.304969795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128659726,0,0,0,0,0,0,0,0,0,0.092963533,0,0,0.155662853,0,0.139867036,0,0,0,0,0,0,0.155662853,0,0.304969795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112863909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128659726,0,0,0.304969795,0,0,0,0,0,0,0,0,0,0,0.155662853,0,0,0,0,0,0,0,0,0,0,0.139867036,0.213717236,0,0,0.128659726,0,0,0,0,0.406626393,0,0,0,0,0,0,0,0,0,0,0,0.203313197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11996666,0.11996666,0.112863909,0,0,0.128659726,0,0,0,0,0,0,0
update_user(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145241859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187430278,0,0,0,0.166950888,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166950888,0,0,0,0,0.201011915,0,0,0,0.145241859,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0.187430278,0,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243200334,0,0.187430278,0.166950888,0,0.218521691,0,0,0,0,0,0,0.145241859,0,0,0,0,0.243200334,0,0,0,0,0,0,0,0,0,0,0,0,0.218521691,0,0,0.333901775,0,0,0,0,0,0,0,0.218521691,0,0,0,0,0
category(table),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319801668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584908278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404750854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404750854,0,0.292454139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377403324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
history(table),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577704267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347783239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324284803,0,0,0,0,0,0,0.347783239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305085182,0,0,0,0,0,0,0.347783239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324284803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
product(table),0,0,0,0.332521847,0,0,0,0,0,0.310054566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310054566,0,0,0,0,0,0,0.310054566,0,0,0.332521847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240264819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240264819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240264819,0,0,0,0.332521847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332521847,0,0,0,0,0.310054566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user(table),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35279459,0,0,0,0,0,0,0,0,0,0.306919855,0,0,0,0,0,0,0,0,0,0,0,0,0.35279459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35279459,0,0,0,0,0,0,0,0,0,0,0,0,0.306919855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396070898,0,0,0,0,0,0.35279459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396070898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
